127.0.0.1 - - [17/Apr/2016:00:34:21 -0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Apr/2016:00:34:27 -0400] "GET /Application/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:00:34:28 -0400] "GET /Application/libs/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:00:34:28 -0400] "GET /Application/libs/underscore.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:00:34:28 -0400] "GET /Application/libs/backbone.marionette.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:00:34:28 -0400] "GET /Application/libs/log4javascript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:00:34:28 -0400] "GET /Application/js/generated/NOSLIWCOMMONCONSTANT.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:00:34:28 -0400] "GET /Application/libs/backbone.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:00:34:28 -0400] "GET /Application/js/event/entities.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:00:34:28 -0400] "GET /Application/js/common/orderedcontainer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:00:34:28 -0400] "GET /Application/js/common/setting.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:00:34:28 -0400] "GET /Application/js/common/segmentparser.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:00:34:28 -0400] "GET /Application/js/event/event.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:00:34:28 -0400] "GET /Application/js/generated/NOSLIWATCOMMONTRIBUTECONSTANT.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:00:34:28 -0400] "GET /Application/js/common/namingconversion.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:00:34:28 -0400] "GET /Application/js/interface/typedobject.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:00:34:28 -0400] "GET /Application/js/common/entity.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:00:34:28 -0400] "GET /Application/js/constant/constant.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:00:34:28 -0400] "GET /Application/js/common/commonutility.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:00:34:28 -0400] "GET /Application/js/interface/lifecycle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:00:34:28 -0400] "GET /Application/js/interface/objectId.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2016:00:34:28 -0400] "GET /Application/js/error/entitys.js HTTP/1.1" 304 -
